cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr,source_uri,ssp2-4.5_baseline_available,ssp2-4.5_future_nonnull_count,ssp5-8.5_baseline_available,ssp5-8.5_future_nonnull_count
254399,176,959,46.0,-120.25,WA,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_254399_WA_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
254440,176,1000,46.0,-110.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_254440_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
254443,176,1003,46.0,-109.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_254443_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
254468,176,1028,46.0,-103.0,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_254468_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
254484,176,1044,46.0,-99.0,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_254484_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
255922,177,1042,45.75,-99.5,SD,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_255922_SD_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
255930,177,1050,45.75,-97.5,SD,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_255930_SD_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
256041,177,1161,45.75,-69.75,ME,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_256041_ME_ISO-NE_OnshoreWind_physical_risks.xlsx,False,0,False,7
257277,178,957,45.5,-120.75,OR,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_257277_OR_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
257372,178,1052,45.5,-97.0,SD,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_257372_SD_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
257393,178,1073,45.5,-91.75,WI,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_257393_WI_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
258786,179,1026,45.25,-103.5,SD,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_258786_SD_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
258788,179,1028,45.25,-103.0,SD,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_258788_SD_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
258806,179,1046,45.25,-98.5,SD,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_258806_SD_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
258808,179,1048,45.25,-98.0,SD,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_258808_SD_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
260224,180,1024,45.0,-104.0,SD,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_260224_SD_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
